Bytes,Description
 F0 9F 95 92,clock_face_three_oclock
 F0 9F 95 93,clock_face_four_oclock
 F0 9F 95 94,clock_face_five_oclock
 F0 9F 95 95,clock_face_six_oclock
 F0 9F 95 96,clock_face_seven_oclock
 F0 9F 95 97,clock_face_eight_oclock
 F0 9F 95 98,clock_face_nine_oclock
 F0 9F 95 99,clock_face_ten_oclock
 F0 9F 95 9A,clock_face_eleven_oclock
 F0 9F 95 9B,clock_face_twelve_oclock
 F0 9F 97 BB,mount_fuji
 F0 9F 97 BC,tokyo_tower
 F0 9F 97 BD,statue_of_liberty
 F0 9F 97 BE,silhouette_of_japan
 F0 9F 97 BF,moyai
 F0 9F 98 80,grinning_face
 F0 9F 98 87,smiling_face_with_halo
 F0 9F 98 88,smiling_face_with_horns
 F0 9F 98 8E,smiling_face_with_sunglasses
 F0 9F 98 90,neutral_face
 F0 9F 98 91,expressionless_face
 F0 9F 98 95,confused_face
 F0 9F 98 97,kissing_face
 F0 9F 98 99,kissing_face_with_smiling_eyes
 F0 9F 98 9B,face_with_stuck-out_tongue
 F0 9F 98 9F,worried_face
 F0 9F 98 A6,frowning_face_with_open_mouth
 F0 9F 98 A7,anguished_face
 F0 9F 98 AC,grimacing_face
 F0 9F 98 AE,face_with_open_mouth
 F0 9F 98 AF,hushed_face
 F0 9F 98 B4,sleeping_face
 F0 9F 98 B6,face_without_mouth
 F0 9F 9A 81,helicopter
 F0 9F 9A 82,steam_locomotive
 F0 9F 9A 86,train
 F0 9F 9A 88,light_rail
 F0 9F 9A 8A,tram
 F0 9F 9A 8D,oncoming_bus
 F0 9F 9A 8E,trolleybus
 F0 9F 9A 90,minibus
 F0 9F 9A 94,oncoming_police_car
 F0 9F 9A 96,oncoming_taxi
 F0 9F 9A 98,oncoming_automobile
 F0 9F 9A 9B,articulated_lorry
 F0 9F 9A 9C,tractor
 F0 9F 9A 9D,monorail
 F0 9F 9A 9E,mountain_railway
 F0 9F 9A 9F,suspension_railway
 F0 9F 9A A0,mountain_cableway
 F0 9F 9A A1,aerial_tramway
 F0 9F 9A A3,rowboat
 F0 9F 9A A6,vertical_traffic_light
 F0 9F 9A AE,put_litter_in_its_place_symbol
 F0 9F 9A AF,do_not_litter_symbol
 F0 9F 9A B0,potable_water_symbol
 F0 9F 9A B1,non-potable_water_symbol
 F0 9F 9A B3,no_bicycles
 F0 9F 9A B4,bicyclist
 F0 9F 9A B5,mountain_bicyclist
 F0 9F 9A B7,no_pedestrians
 F0 9F 9A B8,children_crossing
 F0 9F 9A BF,shower
 F0 9F 9B 81,bathtub
 F0 9F 9B 82,passport_control
 F0 9F 9B 83,customs
 F0 9F 9B 84,baggage_claim
 F0 9F 9B 85,left_luggage
 F0 9F 8C 8D,earth_globe_europe-africa
 F0 9F 8C 8E,earth_globe_americas
 F0 9F 8C 90,globe_with_meridians
 F0 9F 8C 92,waxing_crescent_moon_symbol
 F0 9F 8C 96,waning_gibbous_moon_symbol
 F0 9F 8C 97,last_quarter_moon_symbol
 F0 9F 8C 98,waning_crescent_moon_symbol
 F0 9F 8C 9A,new_moon_with_face
 F0 9F 8C 9C,last_quarter_moon_with_face
 F0 9F 8C 9D,full_moon_with_face
 F0 9F 8C 9E,sun_with_face
 F0 9F 8C B2,evergreen_tree
 F0 9F 8C B3,deciduous_tree
 F0 9F 8D 8B,lemon
 F0 9F 8D 90,pear
 F0 9F 8D BC,baby_bottle
 F0 9F 8F 87,horse_racing
 F0 9F 8F 89,rugby_football
 F0 9F 8F A4,european_post_office
 F0 9F 90 80,rat
 F0 9F 90 81,mouse
 F0 9F 90 82,ox
 F0 9F 90 83,water_buffalo
 F0 9F 90 84,cow
 F0 9F 90 85,tiger
 F0 9F 90 86,leopard
 F0 9F 90 87,rabbit
 F0 9F 90 88,cat
 F0 9F 90 89,dragon
 F0 9F 90 8A,crocodile
 F0 9F 90 8B,whale
 F0 9F 90 8F,ram
 F0 9F 90 90,goat
 F0 9F 90 93,rooster
 F0 9F 90 95,dog
 F0 9F 90 96,pig
 F0 9F 90 AA,dromedary_camel
 F0 9F 91 A5,busts_in_silhouette
 F0 9F 91 AC,two_men_holding_hands
 F0 9F 91 AD,two_women_holding_hands
 F0 9F 92 AD,thought_balloon
 F0 9F 92 B6,banknote_with_euro_sign
 F0 9F 92 B7,banknote_with_pound_sign
 F0 9F 93 AC,open_mailbox_with_raised_flag
 F0 9F 93 AD,open_mailbox_with_lowered_flag
 F0 9F 93 AF,postal_horn
 F0 9F 93 B5,no_mobile_phones
 F0 9F 94 80,twisted_rightwards_arrows
 F0 9F 94 81,clockwise_rightwards_and_leftwards_open_circle_arrows
 F0 9F 94 82,clockwise_rightwards_and_leftwards_open_circle_arrows_with_circled_one_overlay
 F0 9F 94 84,anticlockwise_downwards_and_upwards_open_circle_arrows
 F0 9F 94 85,low_brightness_symbol
 F0 9F 94 86,high_brightness_symbol
 F0 9F 94 87,speaker_with_cancellation_stroke
 F0 9F 94 89,speaker_with_one_sound_wave
 F0 9F 94 95,bell_with_cancellation_stroke
 F0 9F 94 AC,microscope
 F0 9F 94 AD,telescope
 F0 9F 95 9C,clock_face_one-thirty
 F0 9F 95 9D,clock_face_two-thirty
 F0 9F 95 9E,clock_face_three-thirty
 F0 9F 95 9F,clock_face_four-thirty
 F0 9F 95 A0,clock_face_five-thirty
 F0 9F 95 A1,clock_face_six-thirty
 F0 9F 95 A2,clock_face_seven-thirty
 F0 9F 95 A3,clock_face_eight-thirty
 F0 9F 95 A4,clock_face_nine-thirty
 F0 9F 95 A5,clock_face_ten-thirty
 F0 9F 95 A6,clock_face_eleven-thirty
 F0 9F 95 A7,clock_face_twelve-thirty
